"Protein","D2","D3","log2FC"
"P0DJI8",16.7917905743603,12.6919932519159,-4.09979732244435
"P35609",13.0673126167541,9.4698466571852,-3.59746595956892
"P48788.1",14.070150786022,11.3917683565898,-2.67838242943216
"P06732",11.6787343478588,9.06982220685845,-2.60891214100034
"P81172",11.2044542336162,8.97407450823073,-2.23037972538545
"P13929",11.5601552922984,9.56366527930634,-1.99649001299206
"O60662",10.0830704114455,8.24709045528691,-1.83597995615855
"P48788",14.2233508410297,12.5087152593484,-1.71463558168135
"P07451",11.76094629243,10.0521862526783,-1.70876003975169
"P14210",11.592378420079,9.99711037398475,-1.59526804609428
"Q01638",12.9916878157008,11.6153410210747,-1.37634679462607
"P02144",10.9999373176855,9.64305543355033,-1.35688188413518
"P49746",11.7654113085964,12.8929034357575,1.12749212716107
"P01588",11.0008235390513,9.92787353730797,-1.07295000174334
"Q99941",11.5630991592849,10.5596519278294,-1.00344723145551
"O14625",10.3523930257094,11.3487213475563,0.996328321846898
"Q6FHJ7",12.2519559014607,13.1801832065197,0.928227305058982
"P02786",11.8797786804748,12.8074782507746,0.927699570299787
"P05231",9.70380063582947,8.81268383417011,-0.891116801659358
"Q03692",8.34663638896258,9.2123364034382,0.865700014475612
"P21695.1",12.5450369461464,11.7299445338413,-0.815092412305056
"P24158",11.5675863584901,10.766200534176,-0.801385824314149
"O00626",13.458438137836,14.1907077183068,0.73226958047085
"P35443",13.5906944405811,14.2903845492007,0.699690108619654
"Q14956",11.8834323960714,12.5105882643607,0.627155868289362
"P21695",10.0161620142078,9.42299237981714,-0.593169634390698
"Q15063",12.505232222484,13.0143467913444,0.509114568860333
"Q14116",10.4515948530998,9.95902827116354,-0.492566581936224
"P20827",11.6703041135529,11.2024894979028,-0.467814615650122
"Q76M96",10.4211765042664,10.8823372411993,0.46116073693284
"P02452",10.5704779251422,11.0234762447194,0.452998319577203
"P08246",15.8615022419682,15.4201746377011,-0.441327604267144
"P50461",9.98352882711409,9.56506819064152,-0.418460636472572
"P37837",14.1115125338376,13.7124968395614,-0.399015694276171
"Q8WWZ8",9.10018810127545,8.71149929825995,-0.388688803015498
"P23352",10.1161537975824,10.5045897989447,0.388436001362333
"P09601",11.3934856317755,11.0069667673805,-0.38651886439496
"P01019",13.4598664207075,13.0901830924486,-0.369683328258878
"O43251",8.47416090482938,8.1067287082284,-0.367432196600989
"P02461",13.2189340424218,13.5782625269923,0.35932848457054
"P55001",8.83372391824049,9.15951037690356,0.325786458663067
"Q8N428",10.5521583246062,10.8706597548062,0.318501430199994
"P11142",11.3067914432204,11.0053918226263,-0.30139962059418
"Q9UHX3",9.55679799997344,9.84995076984106,0.293152769867623
"P15121",12.9519262468584,12.6690154352071,-0.282910811651375
"P29323",10.3656976765892,10.6423008780898,0.276603201500601
"P12544",10.5900488453238,10.8611818648856,0.271133019561759
"Q9UKZ9",13.3833976307301,13.63234196192,0.248944331189962
"Q9BY76",12.6324557062083,12.3973432836058,-0.235112422602487
"P22894",10.7092473934808,10.4743817210678,-0.234865672412992
"P43403",8.96230317027382,9.1809015897824,0.218598419508577
"Q5VWP3",7.58393233260881,7.37844694138363,-0.205485391225182
"P42892",10.0599988756293,10.2578162899933,0.197817414363977
"P00338",15.4818304460585,15.2862433771542,-0.195587068904354
"P80303",9.95816526606396,9.77913675609971,-0.179028509964249
"O00182",9.63922849853135,9.81603998551903,0.176811486987686
"P07355",9.71270907039451,9.53630459561136,-0.176404474783144
"P01011",18.2866257697285,18.1112741215415,-0.175351648186933
"Q86SE5",9.10525642202276,9.27469565245604,0.169439230433277
"P43220.1",8.88933190472959,9.05445618661176,0.165124281882175
"Q9BXJ3",11.363805135866,11.5254931192857,0.161687983419769
"Q96PD4",8.54355626138044,8.70515172445272,0.161595463072281
"P32970",8.41445179583344,8.52585082421274,0.111399028379294
"Q06413",9.3870385878223,9.27610364753127,-0.110934940291028
"Q8N475",8.31404539680531,8.42404003455935,0.109994637754045
"P06702",12.2581055079135,12.1481845741384,-0.109920933775109
"P04070.1",8.85603353777478,8.75582743426845,-0.100206103506334
"P02790",17.7674728452255,17.6706093965148,-0.096863448710728
"P15907",9.51695967480056,9.42061903007031,-0.0963406447302493
"Q9BQ69",9.40186382897812,9.49226591419013,0.0904020852120144
"P14598",9.36247724860767,9.42745196603849,0.0649747174308253
"P05413",13.666362405495,13.7201483297739,0.0537859242789338
"P17947",10.237066861073,10.1935770554326,-0.0434898056404318
"P22626",10.2215542574107,10.1785968520026,-0.0429574054080284
"P02787",17.9174607332958,17.8958150788466,-0.0216456544491876
