"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P35609",3.8119080729502,10.9824370882509,9.49306698479419,1.50653333584561e-14,2.25980000376841e-11,22.7206712620801
"P48788.1",2.6396013003083,12.5659421575013,8.99840669762929,1.32976968914655e-13,8.99139855458166e-11,20.6147648918076
"P0DJI8",4.50970229922383,13.8253551696971,8.62992342827626,6.76495677193242e-13,2.02948703157973e-10,19.0407491005256
"P48788",1.70079529386484,13.329902335675,8.23221167534338,3.91931954742144e-12,9.79829886855361e-10,17.3403898763647
"P14210",1.62376862010382,10.5139245181219,6.89136483440384,1.39823816629768e-09,2.62169656180815e-07,11.6532987077606
"Q99941",0.837537548047177,10.9059313219169,6.78843942164333,2.18132522425903e-09,3.21746615005187e-07,11.2234140279705
"P18428",1.11427569656577,15.3906375772314,6.78103543711892,2.25211812689141e-09,3.21746615005187e-07,11.192545338222
"P06732",2.15964632442511,10.45003022533,6.71018759441995,3.05602434592387e-09,3.82003043240484e-07,10.8975589853587
"P01588",1.46019953794828,10.0617451911148,6.37885208717319,1.26137567280399e-08,1.26137567280399e-06,9.52840435209366
"O60662",1.68654968320024,9.37025907889438,6.30834879742303,1.70154367329426e-08,1.59519719371337e-06,9.23953056093416
"P21741",2.0566539350969,10.6961655400353,6.07846598718162,4.48657585693916e-08,3.68403542382288e-06,8.30447374149702
"Q08830",1.69328024726271,15.9071652832335,5.84864034380245,1.16987834238461e-07,8.35627387417582e-06,7.3812595639282
"Q06033",0.63410049125633,10.4919732930919,5.63263211876203,2.8475428384043e-07,1.85709315548106e-05,6.52551102044517
"P05231",1.23772211514889,9.17120125927888,5.27304205583486,1.21798714780971e-06,6.99727516765721e-05,5.13037233754086
"P09871",0.327178516406354,13.4971517915274,5.22177305180907,1.49380772578163e-06,7.46903862890816e-05,4.93476115502537
"P80303",0.190840488692658,9.84057249715969,5.20012404793566,1.62788007841682e-06,7.70626052926636e-05,4.85242563889618
"Q8N474",2.04797725222181,12.0583000734844,5.18402423779567,1.73516368539916e-06,7.88710766090527e-05,4.79129772375776
"Q01638",1.46275579129989,12.1024329548328,5.14509138132694,2.02404616098659e-06,8.92961541611729e-05,4.64384388056322
"P13929",1.94212328659706,10.6524890134364,5.05341916665917,2.903030987259e-06,0.000120819469211364,4.29873873064408
"P80511",1.17244648550692,12.0697339050371,4.90559725216769,5.16205302442689e-06,0.000172903547993854,3.74869037985492
"P02748",0.468324880395578,16.3897887718429,4.56746544430485,1.86898402770403e-05,0.00045493020587598,2.52278971785402
"Q92743",0.593514081682324,14.2960933558333,4.53247051219148,2.12977705016677e-05,0.000507089773849232,2.39865889787565
"P01019",0.420448075416363,13.1953181671113,4.47328616618398,2.6532579168595e-05,0.00059271472176004,2.18996076023938
"P09936",0.532589325033523,9.26575234441134,4.42681596911077,3.1497591362029e-05,0.000674948386329193,2.02720229676824
"P02741",1.62596740736294,15.4381824466227,4.42036159753018,3.22547213020381e-05,0.000680654535604842,2.00467435340008
"P24158",0.598958720123537,11.0813205615015,4.41687168804577,3.26714177090324e-05,0.000680654535604842,1.99250136657061
"O95631",0.821049968303283,8.75082545304624,4.41283043166603,3.31604614556344e-05,0.00068137934497879,1.97841226239257
"P02144",1.09779660243435,10.4689622672134,4.35294557424237,4.12934860658317e-05,0.000815003014457204,1.77052328160929
"Q9H4F8",0.969949877220877,14.2562105026787,4.18244281906008,7.64466721344257e-05,0.00134905892001928,1.1879966360327
"O60568",0.656916301226818,11.5827826290663,4.17359058919363,7.89023799393548e-05,0.00137620430126782,1.15814191713014
"P01031.1",0.42292241121309,12.9310533292403,4.10466640899167,0.00010080125555431,0.00169889756552207,0.927041221798884
"P10451",0.49777534467295,9.38217705022356,4.0677679864955,0.000114819805784957,0.0018926341612905,0.804318082281458
"Q9BY76",0.479422056277881,12.4348712249301,4.01307480498701,0.000139098361336393,0.00217341189588113,0.623710404639017
"P80098",0.301355502961298,8.06878268768252,3.88846665710443,0.000214168617558013,0.00321252926337019,0.218164055603002
